INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(6,'Alison Bode','Neighbor','(272) 395-9463', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(7,'Turner Sauer','Parent','(129) 899-3815 x72506', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(8,'Philip Erdman','Father','1-698-034-7671 x2570', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(9,'Kamryn Treutel','Daughter','1-561-965-2859 x74583', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(10,'Rosella McCullough','Spouse','1-494-861-8084 x9903', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(11,'Rubye Swift','Mother','(291) 118-1972 x2103', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(12,'Thomas Mraz','Spouse','(642) 395-0175 x466', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(13,'Odessa Skiles','Parent','184-898-8794', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(14,'Kelsie Rohan','Parent','520-179-1829', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(15,'Cordia Runolfsdottir','Neighbor','493-239-8100', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(16,'Myra Heaney','Mother','1-317-742-9891 x09529', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(17,'August Wiza','Friend','667-634-9747 x449', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(18,'Ansley Kassulke','Friend','(628) 619-1801 x438', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(19,'Javonte Waelchi','Neighbor','983-920-3808 x08697', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(20,'Alyson Gaylord','Son','(498) 160-2322 x851', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(21,'Edgardo Treutel','Mother','659.457.9909 x86320', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(22,'Saige Schumm','Friend','633-479-0511 x649', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(23,'Mallory Pfeffer','Father','249-132-6024 x924', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(24,'Ivy Bosco','Son','(804) 496-8793 x7422', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(25,'Pearl Pacocha','Partner','130.395.9538 x946', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(26,'Yesenia Krajcik','Neighbor','1-978-256-3327', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(27,'Ashton Lindgren','Daughter','1-647-860-2860 x01517', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(28,'Christina Wolf','Son','741.903.5916 x38410', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(29,'Terrence Feeney','Neighbor','706.418.1249', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(30,'Shawn Dibbert','Daughter','(664) 946-0191 x06339', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(31,'Bennett Stiedemann','Partner','894-945-4831 x718', NOW(),NOW());
INSERT INTO emergency_contacts (employee_id, name, relationship, phone_number, created_at, updated_at) VALUES(32,'Julian O'Kon','Son','1-187-562-6860', NOW(),NOW());
